"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor"
"Edad media de emancipación, según sexo";"2015";"31.1";"Sexo";"Hombres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2023";"44.5";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2023";"36";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2023";"58";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2023";"45.3";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2023";"43.5";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2021";"42.1";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2021";"37.1";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2021";"49.5";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2021";"39.3";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2021";"45.4";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2019";"46.6";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2019";"36.8";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2019";"64.9";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2019";"45.7";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2019";"47.7";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2017";"36.5";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2017";"32.2";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2017";"45.6";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2017";"31.8";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2017";"42.5";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2015";"44";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2015";"36.1";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2015";"58.7";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2015";"44.7";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en alquiler, según sexo y grupos de edad";"2015";"43.1";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2023";"52.4";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2023";"61";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2023";"38.9";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2023";"51.6";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2023";"53.5";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2021";"51.6";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2021";"56.3";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2021";"44.5";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2021";"55.1";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2021";"47.5";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2019";"50.2";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2019";"60.1";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2019";"31.5";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2019";"51.6";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2019";"48.4";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2017";"56.7";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2017";"62.1";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2017";"45.4";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2017";"61.8";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2017";"50.2";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2015";"52.5";"Sexo, edad 18-34 en dos grupos";"Total";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2015";"60.8";"Sexo, edad 18-34 en dos grupos";"30-34 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2015";"37.1";"Sexo, edad 18-34 en dos grupos";"18-29 años";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2015";"52.2";"Sexo, edad 18-34 en dos grupos";"Mujeres";"";"";"";""
"Emancipación en propiedad, según sexo y grupos de edad";"2015";"52.9";"Sexo, edad 18-34 en dos grupos";"Hombres";"";"";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"45";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"45";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"46";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"41";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"34";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"53";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"46";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"44";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2025";"45";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"44";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"44";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"48";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"45";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"40";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"50";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"43";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"43";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2024";"45";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"43";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"42";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"47";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"42";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"35";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"52";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"41";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"42";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2023";"44";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"45";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"42";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"47";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"46";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"37";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"54";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"44";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"42";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2022";"48";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"42";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"38";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"45";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"42";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"33";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"49";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"43";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"41";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2021";"43";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"41";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"37";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"43";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"39";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"33";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"49";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"40";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"39";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2020";"42";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"40";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"37";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"45";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"33";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"27";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"44";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"50";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"38";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2019";"43";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"49";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"44";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"54";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"44";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"41";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"58";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"49";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"49";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2018";"49";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"46";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"39";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"49";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"48";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"33";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"57";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"50";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"46";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2017";"46";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"46";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"41";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"49";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"45";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"42";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"52";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"46";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"42";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2016";"50";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"49";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"44";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"54";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"43";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"44";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"58";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"46";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"49";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2015";"49";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"48";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"42";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"52";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"46";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"36";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"58";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"52";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"47";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2014";"49";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"45";"Sexo, edad y TTHH";"Total";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"41";"Sexo, edad y TTHH";"Gipuzkoa";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"50";"Sexo, edad y TTHH";"Bizkaia";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"40";"Sexo, edad y TTHH";"Álava";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
